S,E,N,W
-66.86486325458975,14.8264971037734,48.21697771273116,15.092682585784795
-130.06824169267372,-32.84488108370926,24.123842820841375,-25.188228622644544
-88.05622299388081,-76.47639008778921,7.335655974733277,-19.93019264642694
-8.40917791273605,-56.70812762467286,5.1929414796440305,5.554230971743083
1.1347508232388326,-7.7893721519365196,0.8121971233940042,1.5868927384546292
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.2677903745695488,-2.699320735243835,1.6868497445089374,1.7230264898916232
-54.21412692048098,-26.434948157478146,13.347703068621342,10.97727546458061
-119.20354369853086,7.347446811032543,47.858835648776534,5.198152131104258
